CNT,Country,Reading,Mathematics,Science
ALB,Albania,405,437,417
ARG,Argentina,402,379,404
AUS,Australia,503,491,503
AUT,Austria,484,499,490
QCI,B-S-J-Z (China),555,591,590
QAZ,Baku (Azerbaijan),389,420,398
BLR,Belarus,474,472,471
BEL,Belgium,493,508,499
BIH,Bosnia and Herzegovina,403,406,398
BRA,Brazil,413,384,404
BRN,Brunei Darussalam,408,430,431
BGR,Bulgaria,420,436,424
CAN,Canada,520,512,518
CHL,Chile,452,417,444
TAP,Chinese Taipei,503,531,516
COL,Colombia,412,391,413
CRI,Costa Rica,426,402,416
HRV,Croatia,479,464,472
QCY,Cyprus,424,451,439
CZE,Czech Republic,490,499,497
DNK,Denmark,501,509,493
DOM,Dominican Republic,342,325,336
EST,Estonia,523,523,530
FIN,Finland,520,507,522
FRA,France,493,495,493
GEO,Georgia,380,398,383
DEU,Germany,498,500,503
GRC,Greece,457,451,452
HKG,Hong Kong (China),524,551,517
HUN,Hungary,476,481,481
ISL,Iceland,474,495,475
IDN,Indonesia,371,379,396
IRL,Ireland,518,500,496
ISR,Israel,470,463,462
ITA,Italy,476,487,468
JPN,Japan,504,527,529
JOR,Jordan,419,400,429
KAZ,Kazakhstan,387,423,397
KOR,Korea,514,526,519
KSV,Kosovo,353,366,365
LVA,Latvia,479,496,487
LBN,Lebanon,353,393,384
LTU,Lithuania,476,481,482
LUX,Luxembourg,470,483,477
MAC,Macao (China),525,558,544
MYS,Malaysia,415,440,438
MLT,Malta,448,472,457
MEX,Mexico,420,409,419
MDA,Moldova,424,421,428
MNE,Montenegro,421,430,415
MAR,Morocco,359,368,377
QMC,,,,
QMR,,,,
NLD,Netherlands,485,519,503
NZL,New Zealand,506,494,508
MKD,North Macedonia,393,394,413
NOR,Norway,499,501,490
PAN,Panama,377,353,365
PER,Peru,401,400,404
PHL,Philippines,340,353,357
POL,Poland,512,516,511
PRT,Portugal,492,492,492
QAT,Qatar,407,414,419
ROU,Romania,428,430,426
RUS,Russia,479,488,478
SAU,Saudi Arabia,399,373,386
SRB,Serbia,439,448,440
SGP,Singapore,549,569,551
SVK,Slovak Republic,458,486,464
SVN,Slovenia,495,509,507
ESP,Spain,,481,483
SWE,Sweden,506,502,499
CHE,Switzerland,484,515,495
QRT,,,,
THA,Thailand,393,419,426
TUR,Turkey,466,454,468
UKR,Ukraine,466,453,469
ARE,United Arab Emirates,432,435,434
GBR,United Kingdom,504,502,505
USA,United States,505,478,502
URY,Uruguay,427,418,426
VNM,,,,
